"dmuiid"	"region"
165699	"r12"
165700	"r12"
147463	"r12"
165701	"r12"
165702	"r12"
165704	"r12"
165705	"r12"
176910	"r12"
147464	"r12"
147466	"r12"
147467	"r12"
169720	"r12"
169723	"r12"
169724	"r12"
169726	"r12"
169727	"r12"
169728	"r12"
169729	"r12"
438421	"r12"
438422	"r12"
144114	"r12"
144115	"r12"
169730	"r12"
169731	"r12"
169732	"r12"
144116	"r12"
144117	"r12"
144118	"r12"
144119	"r12"
144120	"r12"
144121	"r12"
144122	"r12"
438423	"r12"
169733	"r12"
169734	"r12"
169735	"r12"
438419	"r12"
438424	"r12"
144125	"r12"
169737	"r12"
169738	"r12"
169739	"r12"
169740	"r12"
169741	"r12"
144126	"r12"
169742	"r12"
169743	"r12"
169744	"r12"
169745	"r12"
169746	"r12"
169747	"r12"
144127	"r12"
144128	"r12"
169751	"r12"
169752	"r12"
169753	"r12"
169754	"r12"
169755	"r12"
169756	"r12"
169757	"r12"
169759	"r12"
169760	"r12"
438434	"r12"
438432	"r12"
169766	"r12"
169767	"r12"
169769	"r12"
438456	"r12"
169774	"r12"
169775	"r12"
169777	"r12"
438395	"r12"
144133	"r12"
144134	"r12"
169781	"r12"
169782	"r12"
144137	"r12"
144140	"r12"
144142	"r12"
144143	"r12"
169795	"r12"
144144	"r12"
169796	"r12"
169797	"r12"
169798	"r12"
169799	"r12"
169800	"r12"
169801	"r12"
169802	"r12"
169803	"r12"
169804	"r12"
438435	"r12"
144145	"r12"
169805	"r12"
144146	"r12"
169806	"r12"
169807	"r12"
438439	"r12"
438438	"r12"
169814	"r12"
169815	"r12"
169816	"r12"
438440	"r12"
144147	"r12"
144149	"r12"
169826	"r12"
169827	"r12"
144150	"r12"
144151	"r12"
438444	"r12"
438445	"r12"
438446	"r12"
438447	"r12"
155107	"r12"
438441	"r12"
438442	"r12"
438443	"r12"
169831	"r12"
169832	"r12"
169833	"r12"
169834	"r12"
169835	"r12"
438448	"r12"
155116	"r12"
438449	"r12"
169837	"r12"
169838	"r12"
169839	"r12"
169840	"r12"
169841	"r12"
169842	"r12"
169843	"r12"
169844	"r12"
169845	"r12"
169846	"r12"
438460	"r12"
438450	"r12"
438451	"r12"
438461	"r12"
438431	"r12"
144155	"r12"
155120	"r12"
144156	"r12"
155118	"r12"
144157	"r12"
169855	"r12"
144158	"r12"
144159	"r12"
169857	"r12"
144162	"r12"
438430	"r12"
144163	"r12"
438399	"r12"
155104	"r12"
438462	"r12"
438463	"r12"
144164	"r12"
169858	"r12"
144165	"r12"
144166	"r12"
144167	"r12"
438453	"r12"
169860	"r12"
438454	"r12"
126321	"r12"
126324	"r12"
126326	"r12"
126327	"r12"
126329	"r12"
150575	"r12"
126330	"r12"
126331	"r12"
126332	"r12"
126333	"r12"
126334	"r12"
