"","muiid","LRU","ncnesoil30m","MLRA.value","MLRA.total","Value","Count","percentmlra","pmlra","mu.total","affinity","best","ofbest"
"3120",184972,"111C",184972,90,7419931,95286,8,0.000107817714207854,0.000107817714207854,0.00213413755322996,5.05205084108451,94.9479491589155,5.32086357402921
"3122",184973,"111",184973,79,60797146,95150,1074,0.00176653029074753,0.00176653029074753,0.308385685845554,0.572831480781584,87.7192784638292,0.653028035356891
"3123",184973,"111C",184973,90,7419931,95086,2679,0.0361054570453553,0.0361054570453553,0.308385685845554,11.7078900553892,87.7192784638292,13.3469976730564
"3125",184974,"111",184974,79,60797146,95155,116,0.000190798429913141,0.000190798429913141,0.0545053833542292,0.350054284864206,74.676290672151,0.468762282798751
"3128",184976,"111",184976,79,60797146,95122,2394,0.003937684838035,0.003937684838035,0.210857741185131,1.86746040999166,79.9292210671677,2.33639260468003
"3134",184978,"111",184978,79,60797146,95151,644,0.00105926024882813,0.00105926024882813,0.0142307558490194,7.44345739654524,90.2836264909501,8.24452637299784
"3135",184978,"111C",184978,90,7419931,95295,24,0.000323453142623563,0.000323453142623563,0.0142307558490194,2.27291611250468,90.2836264909501,2.51752859388354
"3150",184985,"111",184985,79,60797146,95251,50,8.22407025487677e-05,8.22407025487677e-05,0.0169535558839719,0.485094118966033,99.514905881034,0.487458752707803
"3152",184986,"111",184986,79,60797146,95263,32,5.26340496312113e-05,5.26340496312113e-05,0.00254882515567293,2.06503178588235,97.9349682141177,2.1085745199483
"3154",184987,"111",184987,79,60797146,95149,7761,0.0127654018496197,0.0127654018496197,0.178762110401394,7.14099974595072,92.8590002540493,7.69015359460466
"3158",184990,"111",184990,79,60797146,95130,732,0.00120400388531396,0.00120400388531396,0.0203161218090289,5.92634704906562,64.6861252506103,9.16169739044574
"3174",184998,"111",184998,79,60797146,95319,24,3.94755372234085e-05,3.94755372234085e-05,0.0754003383715791,0.0523545889527309,63.0374032543719,0.0830532132509755
"3177",184999,"111",184999,79,60797146,95318,523,0.00086023774866011,0.00086023774866011,0.107252721016237,0.802066129893228,98.5445097558179,0.813912547620011
"3178",184999,"111C",184999,90,7419931,95085,52,0.000700815142351054,0.000700815142351054,0.107252721016237,0.653424114288868,98.5445097558179,0.663075107794415
"3180",185000,"111",185000,79,60797146,95120,1539,0.00253136882445107,0.00253136882445107,1.17343236458027,0.215723453763483,95.7265226036754,0.225353901819474
"3181",185000,"111C",185000,90,7419931,95096,3533,0.0476149980370437,0.0476149980370437,1.17343236458027,4.05775394256109,95.7265226036754,4.23890248198078
"3187",185003,"111",185003,79,60797146,95426,1,1.64481405097535e-06,1.64481405097535e-06,0.0184686776243105,0.00890596546452392,94.3721454538065,0.00943707003978544
"3188",185003,"111C",185003,90,7419931,95289,77,0.0010377454992506,0.0010377454992506,0.0184686776243105,5.61894858072893,94.3721454538065,5.95403289149478
"3190",185004,"111",185004,79,60797146,95321,2113,0.00347549208971092,0.00347549208971092,0.0685281643458372,5.07162583864257,93.5713732932914,5.42006135011612
"3191",185004,"111C",185004,90,7419931,95093,69,0.000929927785042745,0.000929927785042745,0.0685281643458372,1.35700086806606,93.5713732932914,1.45023079207425
"3193",185005,"111",185005,79,60797146,95198,28,4.60547934273099e-05,4.60547934273099e-05,0.000486559106258202,9.46540571020986,90.5345942897901,10.455015328077
"3195",185006,"111C",185006,90,7419931,95092,43,0.000579520213867218,0.000579520213867218,0.0828804093277722,0.69922460394151,99.3007753960585,0.704148181273179
"3198",185008,"111",185008,79,60797146,95260,22,3.61859091214578e-05,3.61859091214578e-05,0.0143042045937651,0.25297393423211,83.3529982213746,0.303497102240095
"4561",186957,"111C",186957,90,7419931,83646,16,0.000215635428415709,0.000215635428415709,0.0486780144187608,0.442983205026953,99.557016794973,0.444954277747423
"4564",186959,"111C",186959,90,7419931,83599,32,0.000431270856831418,0.000431270856831418,0.132858167601503,0.324609969125104,99.6753900308749,0.325667117053221
"4566",186961,"111C",186961,90,7419931,83604,667,0.00898930192207987,0.00898930192207987,0.694041382492015,1.29521122930783,98.7047887706922,1.31220708279597
"4572",186972,"111C",186972,90,7419931,83594,339,0.00456877563955783,0.00456877563955783,0.389389255770645,1.17331836249968,98.8266816375003,1.18724856795603
"4574",186973,"111C",186973,90,7419931,83612,308,0.0041509819970024,0.0041509819970024,0.0368259234144191,11.2719019976484,88.7280980023516,12.7038697452409
"4584",186979,"111C",186979,90,7419931,83629,66,0.0008894961422148,0.0008894961422148,0.00853860559802499,10.417346626486,89.582653373514,11.6287542668009
"4587",186981,"111C",186981,90,7419931,83672,57,0.000768201213730963,0.000768201213730963,0.0201450442132727,3.81335084499257,96.1866491550074,3.96453237376764
"4589",186982,"111C",186982,90,7419931,83687,27,0.000363884785451509,0.000363884785451509,0.00493713326574509,7.37036587560277,92.6296341243972,7.95681203458573
"4591",186983,"111C",186983,90,7419931,82784,10,0.000134772142759818,0.000134772142759818,0.0276148060075026,0.488043054596154,99.5119569454039,0.490436596341798
"4593",186984,"111C",186984,90,7419931,82785,7,9.43404999318727e-05,9.43404999318727e-05,0.0135762337739888,0.694894486220639,99.3051055137794,0.699757059443653
"4596",186989,"111C",186989,90,7419931,82780,954,0.0128572624192866,0.0128572624192866,0.309556217607695,4.15344990278336,95.8465500972166,4.33343703927844
"4601",186993,"111C",186993,90,7419931,83643,37,0.000498656928211327,0.000498656928211327,0.0783168584625686,0.636717225384697,99.3632827746153,0.640797292123445
"4603",186994,"111C",186994,90,7419931,83592,2,2.69544285519636e-05,2.69544285519636e-05,0.197111800431842,0.0136746904512619,99.9863253095487,0.0136765606785991
"4605",186995,"111C",186995,90,7419931,82783,146,0.00196767328429334,0.00196767328429334,0.101952075047308,1.92999826965788,98.0700017303421,1.96798025451728
"5046",187240,"111B",2508719,91,30978541,73944,1491,0.00481300910846641,0.00481300910846641,0.167274359304378,2.87731432867633,97.1226856713237,2.96255638812703
"6856",188455,"111B",188455,91,30978541,73410,692,0.00223380436154175,0.00223380436154175,0.0974529809067582,2.29218679691187,97.7078132030881,2.34596059595306
"6858",188456,"111B",188456,91,30978541,83425,1026,0.00331197005049399,0.00331197005049399,0.0543240764736514,6.09668910266773,93.5948331948705,6.51391630772398
"6895",188477,"111B",188477,91,30978541,83431,4,1.29121639395477e-05,1.29121639395477e-05,0.000569702463549759,2.26647500505673,97.7335249949433,2.31903536189244
"6927",188494,"111B",188494,91,30978541,74137,654,0.00211113880411605,0.00211113880411605,0.0165387003878738,12.7648409766462,87.2351590233538,14.632679208195
"6929",188495,"111B",188495,91,30978541,74096,2016,0.00650773062553204,0.00650773062553204,0.188724512040831,3.44826994392975,96.5517300560703,3.57142222301686
"6953",188503,"111B",188503,91,30978541,84209,20,6.45608196977385e-05,6.45608196977385e-05,0.0194787535910299,0.331442252688434,99.6685577473116,0.332544445489755
"6968",188511,"111B",188511,91,30978541,74110,467,0.00150749513994219,0.00150749513994219,0.0411958015717046,3.65934168635675,96.3406583136432,3.79833577059804
"6977",188514,"111B",188514,91,30978541,73566,31,0.000100069270531495,0.000100069270531495,0.00101904355144155,9.81992088463102,90.180079115369,10.8892351625332
"6979",188520,"111B",188520,91,30978541,73385,242,0.000781185918342636,0.000781185918342636,0.031853328075231,2.45244677886605,97.547553221134,2.51410383744481
"7027",188548,"111B",188548,91,30978541,83497,13,4.196453280353e-05,4.196453280353e-05,0.000523074597515266,8.02266693945222,91.9773330605478,8.72243918419659
"7038",188553,"111B",188553,91,30978541,73588,307,0.000991008582360286,0.000991008582360286,0.0318431085017046,3.11216030403324,96.7605186369089,3.2163534754413
"7054",188560,"111B",188560,91,30978541,73585,99,0.000319576057503806,0.000319576057503806,0.00248457134870662,12.862422231109,87.137577768891,14.7610509271019
"7094",188578,"111B",188578,91,30978541,84197,329,0.0010620254840278,0.0010620254840278,0.201191550499217,0.527867836095795,99.4721321639042,0.530669067418809
"7101",188608,"111B",188608,91,30978541,83666,662,0.00213696313199514,0.00213696313199514,0.344779844739311,0.619805120456188,98.8759424796055,0.626851289517701
"7102",188608,"111C",188608,90,7419931,83548,129,0.00173856064160165,0.00173856064160165,0.344779844739311,0.504252399938338,98.8759424796055,0.5099849238275
"7104",188609,"111B",188609,91,30978541,83565,526,0.00169794955805052,0.00169794955805052,0.174638097763195,0.972267552039475,99.0277324479605,0.981813405199807
"7106",188610,"111B",188610,91,30978541,83685,34,0.000109753393486155,0.000109753393486155,0.0251031509687076,0.437209630069821,99.5627903699302,0.439129546736636
"7112",188615,"111B",188615,91,30978541,83471,933,0.0030117622388995,0.0030117622388995,0.456129893090963,0.660286090545459,98.6099060243345,0.669594077477892
"7113",188615,"111C",188615,90,7419931,83562,247,0.00332887192616751,0.00332887192616751,0.456129893090963,0.729807885120051,98.6099060243345,0.740095913832382
"7115",188619,"111B",188619,91,30978541,83472,4114,0.0132801606118248,0.0132801606118248,0.157905714018814,8.4101836936962,91.1118576686797,9.23061378495771
"7116",188619,"111C",188619,90,7419931,83574,56,0.000754723999454981,0.000754723999454981,0.157905714018814,0.477958637624133,91.1118576686797,0.524584450206457
"7118",188620,"111B",188620,91,30978541,83499,631,0.00203689386146365,0.00203689386146365,0.113984536780279,1.78699139286766,96.6049824719148,1.84979216096558
"7119",188620,"111C",188620,90,7419931,83557,136,0.00183290114153353,0.00183290114153353,0.113984536780279,1.60802613521753,96.6049824719148,1.66453747422916
